CustomerID,Response
470,Both Or None
1074,Both Or None
862,AmznPrime
935,AmznPrime
974,Both Or None
799,Walmart+
1980,Walmart+
1823,Both Or None
810,Both Or None
1435,Walmart+
1788,Both Or None
455,Both Or None
193,Both Or None
1005,Walmart+
2138,AmznPrime
1019,Walmart+
2072,AmznPrime
579,Walmart+
2213,Walmart+
1670,AmznPrime
1881,Both Or None
1237,Both Or None
1251,Both Or None
1373,Both Or None
740,Both Or None
1460,Both Or None
856,Both Or None
943,Both Or None
486,Walmart+
792,Both Or None
1363,Walmart+
1259,AmznPrime
815,Both Or None
1998,Both Or None
143,Both Or None
1465,Both Or None
205,Both Or None
1455,Walmart+
730,Both Or None
1939,Both Or None
2158,Both Or None
705,Walmart+
608,AmznPrime
2070,Both Or None
1162,AmznPrime
222,Both Or None
225,Both Or None
1036,Both Or None
1869,Both Or None
613,Both Or None
785,Both Or None
1675,Both Or None
507,Walmart+
1119,Both Or None
180,AmznPrime
1886,Both Or None
2128,Both Or None
1952,Both Or None
2147,Both Or None
1078,Walmart+
516,Walmart+
1578,Walmart+
574,Both Or None
2222,AmznPrime
2123,Walmart+
1711,Both Or None
1918,Both Or None
1993,Walmart+
1268,AmznPrime
1432,Both Or None
590,Both Or None
1013,AmznPrime
1464,Walmart+
59,Both Or None
890,Walmart+
782,Both Or None
490,Both Or None
953,Both Or None
1203,Both Or None
1732,Both Or None
1329,Both Or None
309,Both Or None
1644,Both Or None
1773,Walmart+
286,Both Or None
395,Both Or None
2078,Both Or None
871,Both Or None
920,AmznPrime
1156,Both Or None
873,Walmart+
679,Walmart+
440,Walmart+
1979,Walmart+
410,Both Or None
717,Both Or None
747,Walmart+
1528,AmznPrime
2205,Walmart+
439,Both Or None
970,AmznPrime
158,Both Or None
1149,Both Or None
1633,Both Or None
585,Walmart+
869,AmznPrime
844,AmznPrime
1417,Walmart+
964,Walmart+
1729,Both Or None
189,Both Or None
1055,Both Or None
601,Both Or None
108,Walmart+
1894,Both Or None
1452,Walmart+
619,Both Or None
1709,Walmart+
1962,Both Or None
1716,Both Or None
2037,Walmart+
214,AmznPrime
2068,Walmart+
1477,Walmart+
956,Walmart+
1608,Walmart+
103,AmznPrime
1757,Walmart+
612,Walmart+
670,Both Or None
1016,Both Or None
1321,Both Or None
989,Both Or None
1735,Both Or None
1052,Walmart+
1967,Walmart+
1032,Both Or None
1296,Walmart+
1099,Both Or None
668,Both Or None
1240,Walmart+
1755,Both Or None
622,Walmart+
656,Both Or None
584,Both Or None
1168,Walmart+
1937,Walmart+
749,Walmart+
482,AmznPrime
224,Walmart+
2159,Both Or None
2057,Both Or None
1276,Both Or None
923,Walmart+
1907,Both Or None
86,Walmart+
596,Both Or None
1691,Both Or None
744,Walmart+
334,Walmart+
849,Walmart+
729,AmznPrime
98,Walmart+
1279,Walmart+
969,Walmart+
412,Both Or None
1811,Walmart+
589,Walmart+
466,Both Or None
1772,Walmart+
1360,Both Or None
1521,Walmart+
1573,Both Or None
221,Walmart+
1617,Walmart+
1174,Walmart+
425,Both Or None
293,Both Or None
467,Walmart+
761,Walmart+
2139,Both Or None
1092,AmznPrime
2009,Both Or None
2105,Both Or None
1147,Walmart+
884,Both Or None
1564,AmznPrime
790,Both Or None
1767,Both Or None
1917,Both Or None
2014,Both Or None
1520,Walmart+
1267,AmznPrime
165,AmznPrime
1506,Both Or None
1175,Walmart+
469,Walmart+
900,Walmart+
1944,Walmart+
1532,Walmart+
113,Both Or None
551,Walmart+
1914,Both Or None
478,Walmart+
418,Both Or None
990,Both Or None
2022,Walmart+
147,AmznPrime
836,Both Or None
633,AmznPrime
848,Walmart+
1185,Both Or None
1458,Both Or None
1106,Walmart+
1779,AmznPrime
605,Both Or None
161,Walmart+
653,Both Or None
415,Walmart+
2143,Both Or None
766,Both Or None
1536,Both Or None
46,Both Or None
1378,Walmart+
30,Both Or None
984,Both Or None
140,Both Or None
1197,Both Or None
537,Walmart+
148,Walmart+
445,Both Or None
821,Walmart+
1389,Walmart+
968,Both Or None
2004,Both Or None
1862,Both Or None
886,Walmart+
1816,Both Or None
456,AmznPrime
382,Both Or None
1698,Both Or None
422,Walmart+
731,Both Or None
1846,Walmart+
887,Walmart+
1485,Both Or None
1108,Both Or None
1844,Both Or None
1529,Both Or None
376,AmznPrime
1025,Walmart+
745,Walmart+
2196,Both Or None
877,Both Or None
427,Both Or None
1928,Walmart+
803,Walmart+
947,AmznPrime
2017,Both Or None
1430,Both Or None
1302,Walmart+
1934,Walmart+
1051,Both Or None
1293,Both Or None
2012,AmznPrime
155,Walmart+
1584,Both Or None
74,AmznPrime
578,Both Or None
357,Both Or None
396,Both Or None
1768,Both Or None
72,Walmart+
172,Both Or None
1515,AmznPrime
696,AmznPrime
681,Both Or None
1642,Both Or None
5,Both Or None
1986,Both Or None
267,Both Or None
658,Walmart+
453,Walmart+
559,Both Or None
1007,AmznPrime
571,Both Or None
1470,Walmart+
1021,Both Or None
678,Both Or None
1357,Both Or None
1793,AmznPrime
135,Walmart+
1330,Both Or None
1800,Both Or None
1722,Walmart+
902,Both Or None
2150,Both Or None
364,AmznPrime
182,AmznPrime
1660,AmznPrime
893,Both Or None
442,Both Or None
2115,Both Or None
2104,AmznPrime
1132,Both Or None
1576,Walmart+
1972,AmznPrime
519,Both Or None
1781,AmznPrime
1206,Both Or None
91,Both Or None
1442,Both Or None
1657,Both Or None
2102,Both Or None
976,Both Or None
874,Both Or None
642,Walmart+
174,AmznPrime
1534,Both Or None
316,AmznPrime
1654,AmznPrime
863,Both Or None
2206,Both Or None
25,Both Or None
1473,Walmart+
1701,Both Or None
1214,Both Or None
1306,Both Or None
1103,Both Or None
851,AmznPrime
1225,Walmart+
1964,Both Or None
2221,Both Or None
1497,Both Or None
1326,Both Or None
327,AmznPrime
878,Both Or None
265,Both Or None
643,Both Or None
264,Walmart+
1860,Both Or None
223,Walmart+
228,Walmart+
1368,Both Or None
2098,Both Or None
1331,Both Or None
2025,Both Or None
369,Walmart+
1439,Both Or None
319,Both Or None
1447,Walmart+
552,Both Or None
331,Both Or None
417,AmznPrime
1853,Both Or None
822,Both Or None
361,Both Or None
1588,Both Or None
2052,Both Or None
673,AmznPrime
2145,Walmart+
1594,Walmart+
1737,Walmart+
514,Walmart+
1556,Both Or None
528,Both Or None
1624,Walmart+
1920,Both Or None
1243,AmznPrime
1824,Both Or None
689,Walmart+
459,Both Or None
1072,Both Or None
600,AmznPrime
1111,Walmart+
1269,Walmart+
1874,Walmart+
630,Both Or None
1489,Walmart+
1424,AmznPrime
573,Walmart+
266,Walmart+
1801,Walmart+
31,Walmart+
1764,Walmart+
473,Both Or None
1053,Walmart+
922,AmznPrime
2201,Walmart+
1271,Both Or None
324,Walmart+
433,Both Or None
1377,Both Or None
9,Both Or None
1337,AmznPrime
1658,Both Or None
1301,Both Or None
1320,Both Or None
1896,AmznPrime
1669,AmznPrime
190,Walmart+
1906,Both Or None
1674,Both Or None
353,Both Or None
1848,Both Or None
1899,Both Or None
1931,AmznPrime
101,Both Or None
816,Both Or None
842,Both Or None
1281,Both Or None
1990,Both Or None
1748,Walmart+
36,Walmart+
285,Both Or None
787,Walmart+
1953,Both Or None
1524,Both Or None
1066,Both Or None
1799,AmznPrime
1583,Both Or None
1328,Walmart+
1,Walmart+
1261,Both Or None
199,Both Or None
1808,Walmart+
90,Both Or None
1581,AmznPrime
1463,Walmart+
1612,Both Or None
757,Walmart+
1018,Both Or None
549,Walmart+
2089,Walmart+
1002,Both Or None
2224,Both Or None
292,Walmart+
1543,AmznPrime
941,Walmart+
1114,Walmart+
896,AmznPrime
1255,Both Or None
1215,Both Or None
188,Both Or None
961,Both Or None
306,Both Or None
793,Both Or None
394,AmznPrime
354,AmznPrime
2020,AmznPrime
2058,Both Or None
1415,Both Or None
894,Walmart+
26,Both Or None
778,AmznPrime
219,Walmart+
963,Walmart+
1115,Walmart+
39,Both Or None
360,Both Or None
791,Walmart+
471,Walmart+
203,Both Or None
1921,Both Or None
638,Walmart+
1913,Walmart+
279,Both Or None
570,Walmart+
218,Both Or None
246,Walmart+
1386,Both Or None
895,Walmart+
1571,Walmart+
1740,Walmart+
460,Walmart+
481,AmznPrime
1819,Both Or None
2225,AmznPrime
1646,Walmart+
1623,Both Or None
34,Both Or None
763,AmznPrime
522,Both Or None
2163,AmznPrime
1391,Walmart+
1820,Both Or None
769,Both Or None
207,Both Or None
937,AmznPrime
1582,Both Or None
998,AmznPrime
40,Both Or None
1359,Both Or None
1511,Both Or None
65,Both Or None
1776,AmznPrime
191,Both Or None
1560,Walmart+
1070,Both Or None
114,Both Or None
758,AmznPrime
1352,Both Or None
1109,Both Or None
784,Both Or None
2189,Both Or None
1087,Walmart+
2079,Walmart+
1474,Both Or None
142,Both Or None
351,Walmart+
443,Both Or None
726,Walmart+
408,AmznPrime
665,Walmart+
1616,AmznPrime
2084,AmznPrime
1597,Both Or None
671,Both Or None
1969,Both Or None
1681,Both Or None
8,Both Or None
595,Walmart+
2154,Both Or None
780,Walmart+
338,Both Or None
386,AmznPrime
1763,Both Or None
1493,Both Or None
379,AmznPrime
786,AmznPrime
23,AmznPrime
1260,Both Or None
700,Walmart+
2073,AmznPrime
1558,Both Or None
1516,Both Or None
1063,AmznPrime
1232,AmznPrime
914,Both Or None
1798,Both Or None
1759,Both Or None
280,Walmart+
2108,Both Or None
1484,Both Or None
1173,Both Or None
804,Walmart+
1723,Both Or None
1209,Both Or None
244,Walmart+
1040,AmznPrime
623,Walmart+
626,Walmart+
1827,Both Or None
1166,AmznPrime
1029,Walmart+
779,Walmart+
925,Walmart+
2229,Both Or None
978,Both Or None
1866,Both Or None
805,Both Or None
1475,Walmart+
1974,Walmart+
1854,AmznPrime
68,Walmart+
273,Both Or None
909,Walmart+
1388,Both Or None
2069,Both Or None
2033,Both Or None
1708,Both Or None
2203,Walmart+
1868,Both Or None
1994,Both Or None
636,AmznPrime
992,Walmart+
1676,Both Or None
1895,Both Or None
995,AmznPrime
1264,AmznPrime
1319,Walmart+
776,Both Or None
1935,AmznPrime
1790,Walmart+
1873,Walmart+
748,Both Or None
1841,Both Or None
1547,Walmart+
1024,Both Or None
801,Walmart+
1187,AmznPrime
398,Walmart+
322,Both Or None
1218,Both Or None
1369,Both Or None
575,Both Or None
759,Walmart+
1120,AmznPrime
2140,AmznPrime
1135,Both Or None
1575,Both Or None
317,Both Or None
38,Walmart+
503,Both Or None
1380,AmznPrime
1397,Walmart+
1540,Walmart+
1635,AmznPrime
128,Both Or None
529,Both Or None
1606,Walmart+
710,Both Or None
1167,Both Or None
2162,Walmart+
567,Walmart+
1507,Both Or None
1257,Both Or None
1266,Both Or None
186,Walmart+
1745,Both Or None
1535,AmznPrime
1140,Both Or None
438,Both Or None
156,AmznPrime
1693,Both Or None
1887,Walmart+
855,AmznPrime
1503,Walmart+
1483,Walmart+
2048,Both Or None
1956,Both Or None
960,Both Or None
2211,Both Or None
520,Walmart+
1300,AmznPrime
400,AmznPrime
1286,Walmart+
592,AmznPrime
1265,Walmart+
368,Walmart+
336,Walmart+
2086,Both Or None
1351,Walmart+
2164,AmznPrime
1943,Both Or None
1110,Walmart+
1983,Walmart+
1936,Both Or None
771,Both Or None
1449,Walmart+
1864,Both Or None
1893,Both Or None
1129,Both Or None
1379,Both Or None
644,Both Or None
1636,AmznPrime
1144,AmznPrime
888,Walmart+
545,Walmart+
290,Walmart+
284,Both Or None
1553,Walmart+
450,AmznPrime
840,Both Or None
2056,Both Or None
1909,Both Or None
1390,Walmart+
217,Both Or None
750,Both Or None
1410,Walmart+
1228,Both Or None
2113,Walmart+
1821,AmznPrime
92,Both Or None
1334,Walmart+
1775,Both Or None
1720,Both Or None
1233,Both Or None
1634,Both Or None
305,Both Or None
1204,Both Or None
20,AmznPrime
1501,Both Or None
1028,AmznPrime
1987,Walmart+
664,Walmart+
924,Walmart+
604,Both Or None
1739,Both Or None
256,Both Or None
1355,Both Or None
1155,Both Or None
2181,Walmart+
298,Walmart+
910,AmznPrime
347,AmznPrime
1769,Both Or None
362,Both Or None
160,AmznPrime
13,Both Or None
1945,Both Or None
697,Walmart+
576,Both Or None
500,Both Or None
1366,AmznPrime
1836,Both Or None
405,Both Or None
975,Both Or None
1650,Both Or None
981,AmznPrime
213,Both Or None
610,Walmart+
1222,Both Or None
860,Both Or None
659,Walmart+
2010,Both Or None
1789,Walmart+
1479,Both Or None
255,Both Or None
153,Both Or None
1190,Walmart+
93,Both Or None
2152,Walmart+
2219,Walmart+
296,Walmart+
1012,AmznPrime
1283,Walmart+
1189,Walmart+
2182,Both Or None
1429,Both Or None
1834,Both Or None
77,Both Or None
1760,Walmart+
536,Both Or None
735,Walmart+
468,Walmart+
1997,Walmart+
2134,Both Or None
1459,Walmart+
532,Both Or None
1713,AmznPrime
1842,AmznPrime
1095,Walmart+
1981,Both Or None
1247,Walmart+
1609,Walmart+
294,AmznPrime
993,Both Or None
419,Both Or None
1234,Walmart+
1358,Walmart+
1022,Both Or None
932,Walmart+
2007,Both Or None
2183,Both Or None
66,Walmart+
651,Both Or None
2083,Walmart+
1207,Both Or None
2197,Both Or None
533,Walmart+
1726,Both Or None
2100,AmznPrime
557,Both Or None
526,Both Or None
381,Walmart+
1643,Walmart+
1831,Walmart+
1741,AmznPrime
83,Both Or None
314,Walmart+
1073,AmznPrime
808,Both Or None
1241,Both Or None
811,AmznPrime
1855,Walmart+
933,Walmart+
2148,Both Or None
1466,Both Or None
2109,Both Or None
1275,Both Or None
582,Walmart+
828,Both Or None
1291,Walmart+
1143,Both Or None
725,Walmart+
1916,AmznPrime
1908,Both Or None
1289,Walmart+
1112,Walmart+
1611,Both Or None
355,Both Or None
1163,Both Or None
477,Both Or None
931,Both Or None
211,AmznPrime
755,AmznPrime
55,Walmart+
363,Both Or None
239,Walmart+
614,Both Or None
930,Both Or None
756,Walmart+
1649,Walmart+
1884,Both Or None
149,AmznPrime
2136,Both Or None
903,Both Or None
684,AmznPrime
1857,Both Or None
720,Both Or None
564,Both Or None
1258,Both Or None
144,Walmart+
858,Both Or None
1349,Walmart+
530,Both Or None
1231,Walmart+
1814,Walmart+
2175,Both Or None
1879,Both Or None
629,Both Or None
2129,Both Or None
525,Both Or None
1966,Walmart+
1170,Walmart+
1060,Both Or None
1394,Walmart+
389,Both Or None
1925,Both Or None
116,Both Or None
501,Both Or None
1500,Both Or None
1420,Walmart+
125,Both Or None
492,Both Or None
685,Walmart+
1965,Walmart+
435,Both Or None
1068,Both Or None
1890,Walmart+
915,AmznPrime
1721,AmznPrime
332,Both Or None
2119,Both Or None
1126,Walmart+
973,Both Or None
136,Walmart+
835,AmznPrime
1105,Both Or None
137,Both Or None
2092,Both Or None
885,Walmart+
702,Walmart+
1230,Both Or None
1010,Both Or None
1184,Both Or None
832,Both Or None
991,Walmart+
343,Both Or None
50,AmznPrime
1292,AmznPrime
196,Both Or None
237,Walmart+
308,AmznPrime
2200,Both Or None
281,Both Or None
988,Both Or None
47,Both Or None
1350,Walmart+
2169,Walmart+
1619,Both Or None
683,AmznPrime
2126,Walmart+
841,AmznPrime
7,Both Or None
649,AmznPrime
259,Both Or None
625,AmznPrime
997,Both Or None
1235,Both Or None
85,Both Or None
245,Both Or None
1026,Both Or None
387,Walmart+
1569,Both Or None
2076,AmznPrime
1223,AmznPrime
1717,Walmart+
2002,Both Or None
202,Walmart+
261,Both Or None
618,Walmart+
724,Both Or None
1058,Both Or None
1244,Both Or None
1467,Both Or None
510,Both Or None
1118,Walmart+
371,AmznPrime
1504,Walmart+
781,AmznPrime
2030,AmznPrime
2061,Walmart+
1648,Both Or None
1491,Both Or None
1826,Both Or None
1027,AmznPrime
1192,Both Or None
45,AmznPrime
879,Both Or None
1752,Both Or None
414,Both Or None
788,Both Or None
2074,Walmart+
535,Both Or None
1839,Both Or None
1600,Walmart+
1680,Both Or None
215,AmznPrime
342,Both Or None
1933,Walmart+
518,Walmart+
204,Both Or None
916,Both Or None
1585,Both Or None
84,AmznPrime
349,Walmart+
1973,AmznPrime
1537,Both Or None
1656,AmznPrime
752,Both Or None
666,Walmart+
249,Walmart+
2146,Walmart+
1050,Both Or None
1546,Both Or None
367,Both Or None
170,Both Or None
465,Walmart+
192,AmznPrime
1878,Walmart+
986,Both Or None
691,AmznPrime
24,Both Or None
1128,Both Or None
1416,AmznPrime
1786,Both Or None
260,Walmart+
344,Walmart+
80,Walmart+
581,Walmart+
489,Both Or None
67,Both Or None
917,Both Or None
241,Both Or None
809,AmznPrime
672,Walmart+
1591,AmznPrime
1090,AmznPrime
2194,Walmart+
1183,Both Or None
111,Walmart+
1758,AmznPrime
1335,Walmart+
1663,Both Or None
1008,Walmart+
1510,Both Or None
1107,Walmart+
1992,AmznPrime
2024,Walmart+
2035,Walmart+
1727,Both Or None
1161,AmznPrime
1655,Walmart+
2220,Walmart+
669,AmznPrime
1123,Both Or None
1832,Both Or None
1629,Walmart+
587,Both Or None
1001,Walmart+
972,Walmart+
934,Both Or None
1861,AmznPrime
531,Both Or None
131,Both Or None
967,Both Or None
722,Walmart+
1712,Both Or None
1444,Both Or None
1113,AmznPrime
693,Both Or None
1226,Both Or None
1930,Both Or None
1563,Both Or None
655,Both Or None
330,Walmart+
2082,Walmart+
2050,Both Or None
708,Both Or None
853,AmznPrime
1468,Both Or None
1343,Walmart+
2210,Both Or None
1254,Both Or None
1030,AmznPrime
6,Walmart+
1692,Walmart+
505,Both Or None
1313,AmznPrime
591,Walmart+
1541,AmznPrime
555,Both Or None
1679,Walmart+
1309,Walmart+
950,AmznPrime
1496,AmznPrime
919,AmznPrime
996,AmznPrime
918,Walmart+
661,Both Or None
2149,Both Or None
639,AmznPrime
61,Both Or None
706,Both Or None
2195,Both Or None
60,Walmart+
341,Both Or None
1728,Both Or None
868,Walmart+
819,AmznPrime
864,Walmart+
1180,AmznPrime
1131,Both Or None
2097,Both Or None
340,Both Or None
179,Walmart+
2095,Both Or None
1006,Walmart+
107,Both Or None
484,Both Or None
1043,Both Or None
641,AmznPrime
1875,AmznPrime
2142,Walmart+
825,Both Or None
1154,Both Or None
1217,Walmart+
820,Walmart+
1372,Both Or None
1785,Walmart+
1806,AmznPrime
1436,Walmart+
409,Both Or None
1550,Both Or None
2208,Walmart+
1572,Walmart+
1777,AmznPrime
1876,Walmart+
1566,Both Or None
701,Walmart+
727,AmznPrime
173,Both Or None
14,Both Or None
1195,Both Or None
431,Both Or None
2023,Both Or None
97,Both Or None
1833,Walmart+
1188,Both Or None
53,Walmart+
185,Both Or None
1324,Both Or None
78,Both Or None
1749,Both Or None
1889,AmznPrime
1963,Both Or None
1136,Walmart+
1950,Both Or None
496,Walmart+
145,Walmart+
275,Walmart+
69,Both Or None
1595,AmznPrime
1898,Walmart+
